entity,complexity,domain,priority
ABSORBED_DOSE_MEASURE_WITH_UNIT,SIMPLE,unit,190
ABSORBED_DOSE_UNIT,SIMPLE,unit,190
ACCELERATION_MEASURE_WITH_UNIT,SIMPLE,unit,190
ACCELERATION_UNIT,SIMPLE,unit,190
AMOUNT_OF_SUBSTANCE_MEASURE_WITH_UNIT,SIMPLE,unit,190
AMOUNT_OF_SUBSTANCE_UNIT,SIMPLE,unit,190
AREA_MEASURE_WITH_UNIT,SIMPLE,unit,190
AREA_UNIT,SIMPLE,unit,190
CAPACITANCE_MEASURE_WITH_UNIT,SIMPLE,unit,190
CAPACITANCE_UNIT,SIMPLE,unit,190
CELSIUS_TEMPERATURE_MEASURE_WITH_UNIT,SIMPLE,unit,190
CONDUCTANCE_MEASURE_WITH_UNIT,SIMPLE,unit,190
CONDUCTANCE_UNIT,SIMPLE,unit,190
CURRENCY_MEASURE_WITH_UNIT,SIMPLE,unit,190
DIELECTRIC_CONSTANT_MEASURE_WITH_UNIT,SIMPLE,unit,190
DOSE_EQUIVALENT_MEASURE_WITH_UNIT,SIMPLE,unit,190
DOSE_EQUIVALENT_UNIT,SIMPLE,unit,190
ELECTRIC_CHARGE_MEASURE_WITH_UNIT,SIMPLE,unit,190
ELECTRIC_CHARGE_UNIT,SIMPLE,unit,190
ELECTRIC_CURRENT_MEASURE_WITH_UNIT,SIMPLE,unit,190
ELECTRIC_CURRENT_UNIT,SIMPLE,unit,190
ELECTRIC_POTENTIAL_MEASURE_WITH_UNIT,SIMPLE,unit,190
ELECTRIC_POTENTIAL_UNIT,SIMPLE,unit,190
ENERGY_MEASURE_WITH_UNIT,SIMPLE,unit,190
ENERGY_UNIT,SIMPLE,unit,190
EXPRESSION_CONVERSION_BASED_UNIT,SIMPLE,unit,190
EXTERNALLY_DEFINED_CONVERSION_BASED_UNIT,SIMPLE,unit,190
FORCE_MEASURE_WITH_UNIT,SIMPLE,unit,190
FORCE_UNIT,SIMPLE,unit,190
FREQUENCY_MEASURE_WITH_UNIT,SIMPLE,unit,190
FREQUENCY_UNIT,SIMPLE,unit,190
ILLUMINANCE_MEASURE_WITH_UNIT,SIMPLE,unit,190
ILLUMINANCE_UNIT,SIMPLE,unit,190
INDUCTANCE_MEASURE_WITH_UNIT,SIMPLE,unit,190
INDUCTANCE_UNIT,SIMPLE,unit,190
LENGTH_MEASURE_WITH_UNIT,SIMPLE,unit,190
LENGTH_UNIT,SIMPLE,unit,190
LOSS_TANGENT_MEASURE_WITH_UNIT,SIMPLE,unit,190
LUMINOUS_FLUX_MEASURE_WITH_UNIT,SIMPLE,unit,190
LUMINOUS_FLUX_UNIT,SIMPLE,unit,190
LUMINOUS_INTENSITY_MEASURE_WITH_UNIT,SIMPLE,unit,190
LUMINOUS_INTENSITY_UNIT,SIMPLE,unit,190
MAGNETIC_FLUX_DENSITY_MEASURE_WITH_UNIT,SIMPLE,unit,190
MAGNETIC_FLUX_DENSITY_UNIT,SIMPLE,unit,190
MAGNETIC_FLUX_MEASURE_WITH_UNIT,SIMPLE,unit,190
MAGNETIC_FLUX_UNIT,SIMPLE,unit,190
MASS_MEASURE_WITH_UNIT,SIMPLE,unit,190
MASS_UNIT,SIMPLE,unit,190
NON_AGREED_UNIT_USAGE,SIMPLE,unit,190
POSITIVE_LENGTH_MEASURE_WITH_UNIT,SIMPLE,unit,190
POWER_MEASURE_WITH_UNIT,SIMPLE,unit,190
POWER_UNIT,SIMPLE,unit,190
PRESSURE_MEASURE_WITH_UNIT,SIMPLE,unit,190
PRESSURE_UNIT,SIMPLE,unit,190
RADIOACTIVITY_MEASURE_WITH_UNIT,SIMPLE,unit,190
RADIOACTIVITY_UNIT,SIMPLE,unit,190
RATIO_MEASURE_WITH_UNIT,SIMPLE,unit,190
RATIO_UNIT,SIMPLE,unit,190
RESISTANCE_MEASURE_WITH_UNIT,SIMPLE,unit,190
RESISTANCE_UNIT,SIMPLE,unit,190
SI_ABSORBED_DOSE_UNIT,SIMPLE,unit,190
SI_CAPACITANCE_UNIT,SIMPLE,unit,190
SI_CONDUCTANCE_UNIT,SIMPLE,unit,190
SI_DOSE_EQUIVALENT_UNIT,SIMPLE,unit,190
SI_ELECTRIC_CHARGE_UNIT,SIMPLE,unit,190
SI_ELECTRIC_POTENTIAL_UNIT,SIMPLE,unit,190
SI_ENERGY_UNIT,SIMPLE,unit,190
SI_FORCE_UNIT,SIMPLE,unit,190
SI_FREQUENCY_UNIT,SIMPLE,unit,190
SI_ILLUMINANCE_UNIT,SIMPLE,unit,190
SI_INDUCTANCE_UNIT,SIMPLE,unit,190
SI_MAGNETIC_FLUX_DENSITY_UNIT,SIMPLE,unit,190
SI_MAGNETIC_FLUX_UNIT,SIMPLE,unit,190
SI_POWER_UNIT,SIMPLE,unit,190
SI_PRESSURE_UNIT,SIMPLE,unit,190
SI_RADIOACTIVITY_UNIT,SIMPLE,unit,190
SI_RESISTANCE_UNIT,SIMPLE,unit,190
THERMAL_RESISTANCE_MEASURE_WITH_UNIT,SIMPLE,unit,190
THERMAL_RESISTANCE_UNIT,SIMPLE,unit,190
THERMODYNAMIC_TEMPERATURE_MEASURE_WITH_UNIT,SIMPLE,unit,190
THERMODYNAMIC_TEMPERATURE_UNIT,SIMPLE,unit,190
TIME_MEASURE_WITH_UNIT,SIMPLE,unit,190
TIME_UNIT,SIMPLE,unit,190
VELOCITY_MEASURE_WITH_UNIT,SIMPLE,unit,190
VELOCITY_UNIT,SIMPLE,unit,190
VOLUME_MEASURE_WITH_UNIT,SIMPLE,unit,190
VOLUME_UNIT,SIMPLE,unit,190
ANGLE_DIRECTION_REFERENCE,SIMPLE,geometry,185
BEZIER_VOLUME,SIMPLE,geometry,185
BOUNDARY_CURVE,SIMPLE,geometry,185
BOUNDED_PCURVE,SIMPLE,geometry,185
B_SPLINE_FUNCTION,SIMPLE,geometry,185
CHARACTER_GLYPH_STYLE_OUTLINE,SIMPLE,geometry,185
CHARACTER_GLYPH_SYMBOL_OUTLINE,SIMPLE,geometry,185
COMPOSITE_TEXT_WITH_ASSOCIATED_CURVES,SIMPLE,geometry,185
COMPOSITE_TEXT_WITH_DELINEATION,SIMPLE,geometry,185
CYLINDRICAL_POINT,SIMPLE,geometry,185
DRAPED_DEFINED_TRANSFORMATION,SIMPLE,geometry,185
DRAUGHTING_TEXT_LITERAL_WITH_DELINEATION,SIMPLE,geometry,185
EVALUATED_DEGENERATE_PCURVE,SIMPLE,geometry,185
EXCESSIVELY_HIGH_DEGREE_CURVE,SIMPLE,geometry,185
FUNCTIONALLY_DEFINED_TRANSFORMATION,SIMPLE,geometry,185
G1_DISCONTINUOUS_CURVE,SIMPLE,geometry,185
G2_DISCONTINUOUS_CURVE,SIMPLE,geometry,185
GENERAL_LINEAR_FUNCTION,SIMPLE,geometry,185
HIGH_DEGREE_LINEAR_CURVE,SIMPLE,geometry,185
HOMOGENEOUS_LINEAR_FUNCTION,SIMPLE,geometry,185
HYPERBOLA,SIMPLE,geometry,185
IMPLICIT_INTERSECTION_CURVE,SIMPLE,geometry,185
IMPLICIT_MODEL_INTERSECTION_CURVE,SIMPLE,geometry,185
IMPLICIT_PLANAR_CURVE,SIMPLE,geometry,185
IMPLICIT_PLANAR_INTERSECTION_POINT,SIMPLE,geometry,185
IMPLICIT_PLANAR_PROJECTION_POINT,SIMPLE,geometry,185
IMPLICIT_POINT_ON_PLANE,SIMPLE,geometry,185
IMPLICIT_PROJECTED_CURVE,SIMPLE,geometry,185
IMPLICIT_SILHOUETTE_CURVE,SIMPLE,geometry,185
IMPORTED_CURVE_FUNCTION,SIMPLE,geometry,185
IMPORTED_POINT_FUNCTION,SIMPLE,geometry,185
IMPORTED_SURFACE_FUNCTION,SIMPLE,geometry,185
INTERSECTION_CURVE,SIMPLE,geometry,185
KINEMATIC_PATH_DEFINED_BY_CURVES,SIMPLE,geometry,185
LAID_DEFINED_TRANSFORMATION,SIMPLE,geometry,185
LINEARIZED_TABLE_FUNCTION,SIMPLE,geometry,185
LINEAR_ARRAY_PLACEMENT_GROUP_COMPONENT,SIMPLE,geometry,185
LINEAR_DIMENSION,SIMPLE,geometry,185
LINEAR_FLEXIBLE_AND_PINION_PAIR,SIMPLE,geometry,185
LINEAR_PATH,SIMPLE,geometry,185
LINEAR_PROFILE,SIMPLE,geometry,185
LINE_PROFILE_TOLERANCE,SIMPLE,geometry,185
LINK_MOTION_TRANSFORMATION,SIMPLE,geometry,185
LOCALLY_REFINED_SPLINE_CURVE,SIMPLE,geometry,185
LOCALLY_REFINED_SPLINE_VOLUME,SIMPLE,geometry,185
MISMATCH_OF_ARCWISE_CONNECTED_CURVES,SIMPLE,geometry,185
MISMATCH_OF_POINTS,SIMPLE,geometry,185
MULTIPLY_DEFINED_CARTESIAN_POINTS,SIMPLE,geometry,185
MULTIPLY_DEFINED_CURVES,SIMPLE,geometry,185
MULTIPLY_DEFINED_DIRECTIONS,SIMPLE,geometry,185
ONE_DIRECTION_REPEAT_FACTOR,SIMPLE,geometry,185
OUTER_BOUNDARY_CURVE,SIMPLE,geometry,185
PARABOLA,SIMPLE,geometry,185
PARTLY_OVERLAPPING_CURVES,SIMPLE,geometry,185
PLANE_ANGLE_AND_LENGTH_PAIR,SIMPLE,geometry,185
PLANE_ANGLE_AND_RATIO_PAIR,SIMPLE,geometry,185
PLANE_ANGLE_MEASURE_WITH_UNIT,SIMPLE,geometry,185
PLANE_ANGLE_UNIT,SIMPLE,geometry,185
POINT_AND_VECTOR,SIMPLE,geometry,185
POINT_ARRAY,SIMPLE,geometry,185
POINT_CLOUD_DATASET,SIMPLE,geometry,185
POINT_CLOUD_DATASET_WITH_COLOURS,SIMPLE,geometry,185
POINT_CLOUD_DATASET_WITH_INTENSITIES,SIMPLE,geometry,185
POINT_CLOUD_DATASET_WITH_NORMALS,SIMPLE,geometry,185
POINT_CLOUD_SUPERDATASET,SIMPLE,geometry,185
POINT_DISTANCE_GEOMETRIC_CONSTRAINT,SIMPLE,geometry,185
POINT_IN_VOLUME,SIMPLE,geometry,185
POINT_ON_CURVE,SIMPLE,geometry,185
POINT_PATH,SIMPLE,geometry,185
POINT_TO_POINT_PATH,SIMPLE,geometry,185
POLAR_POINT,SIMPLE,geometry,185
